Probing Associativity with Stride = 131072 bytes
Ways	Avg_Time(ns)
--------------------
1	2.0695
2	2.1177
3	2.0174
4	2.0649
5	2.0145
6	2.0398
7	4.5377
8	5.0373
9	6.8008
10	7.3644
11	9.6521
12	9.9114
13	10.1978
14	9.7618
15	10.5488
16	10.5130
17	10.3411
18	10.2121
19	11.1530
20	11.1351
21	11.6565
22	10.7085
23	12.7778
24	14.3263
25	15.0993
26	17.2297
27	20.1566
28	21.2692
29	22.4358
30	21.4708
31	19.7455
32	19.7637
