Estimated stride for single set: 1536 bytes
Probing associativity...
Ways	Avg_Time(ns)
--------------------
1	1.4482
2	2.0651
3	1.5657
4	1.0318
5	1.0227
6	1.0278
7	1.0288
8	1.0279
9	1.0227
10	1.0275
11	1.0420
12	1.0322
13	1.0227
14	1.0275
15	1.0516
16	1.0276
17	1.0371
18	1.0539
19	1.0353
20	1.0766
21	1.0458
22	1.0468
23	1.0479
24	1.0591
25	1.0632
26	1.0534
27	1.1593
28	1.0867
29	1.1435
30	1.1323
31	1.1473
32	1.0735
