Successfully pinned to Core 0
Probing TLB Size (Stride = 4KB)
Entries		Avg_Time(ns)
----------------------------
8		1.0556
16		3.1363
32		3.1216
48		3.1844
64		3.2139
72		3.1011
96		3.3369
128		3.8048
256		4.7641
512		12.8452
1024		7.7297
1500		6.3204
1536		6.3685
1600		6.2578
2000		6.3351
2048		8.6695
2100		6.5300
2500		7.2296
