Successfully pinned to Core 1
Probing TLB Size (Stride = 4KB)
Entries		Avg_Time(ns)
----------------------------
8		1.8195
16		3.3310
32		3.2046
48		3.1534
64		3.2288
72		3.1645
96		3.7767
128		3.8540
256		5.0949
512		6.2271
1024		6.3320
1500		6.2663
1536		6.3971
1600		14.4008
2000		7.0461
2048		6.4919
2100		10.8524
2500		16.9275
